customer_id,customer_key,firstname,lastname,gender,marital_status,birth_date,country,create_date
11000,AW00011000,JON,YANG,MALE,M,10/6/1971,AUSTRALIA,10/6/2025
11001,AW00011001,EUGENE,HUANG,MALE,S,5/10/1976,AUSTRALIA,10/6/2025
11002,AW00011002,RUBEN,TORRES,MALE,M,2/9/1971,AUSTRALIA,10/6/2025
11003,AW00011003,CHRISTY,ZHU,FEMALE,S,8/14/1973,AUSTRALIA,10/6/2025
11004,AW00011004,ELIZABETH,JOHNSON,FEMALE,S,8/5/1979,AUSTRALIA,10/6/2025
11005,AW00011005,JULIO,RUIZ,MALE,S,8/1/1976,AUSTRALIA,10/6/2025
11006,AW00011006,JANET,ALVAREZ,FEMALE,S,12/2/1976,AUSTRALIA,10/6/2025
11007,AW00011007,MARCO,MEHTA,MALE,M,11/6/1969,AUSTRALIA,10/6/2025
11008,AW00011008,ROB,VERHOFF,FEMALE,S,7/4/1975,AUSTRALIA,10/6/2025
11009,AW00011009,SHANNON,CARLSON,MALE,S,9/29/1969,AUSTRALIA,10/6/2025
11010,AW00011010,JACQUELYN,SUAREZ,FEMALE,S,8/5/1969,AUSTRALIA,10/6/2025
11011,AW00011011,CURTIS,LU,MALE,M,5/3/1969,AUSTRALIA,10/6/2025
11012,AW00011012,LAUREN,WALKER,FEMALE,M,1/14/1979,US,10/6/2025
11013,AW00011013,IAN,JENKINS,MALE,M,8/3/1979,US,10/6/2025
11014,AW00011014,SYDNEY,BENNETT,FEMALE,S,11/6/1973,US,10/6/2025
11015,AW00011015,CHLOE,YOUNG,FEMALE,S,8/26/1984,US,10/6/2025
11016,AW00011016,WYATT,HILL,MALE,M,10/25/1984,US,10/7/2025
11017,AW00011017,SHANNON,WANG,FEMALE,S,12/24/1949,AUSTRALIA,10/7/2025
11018,AW00011018,CLARENCE,RAI,MALE,S,10/6/1955,AUSTRALIA,10/7/2025
11019,AW00011019,LUKE,LAL,MALE,S,9/4/1983,CANADA,10/7/2025
11020,AW00011020,JORDAN,KING,MALE,S,3/19/1984,CANADA,10/7/2025
11021,AW00011021,DESTINY,WILSON,FEMALE,S,3/2/1984,US,10/7/2025
11022,AW00011022,ETHAN,ZHANG,FEMALE,M,4/10/1984,US,10/7/2025
11023,AW00011023,SETH,EDWARDS,FEMALE,M,4/9/1984,US,10/7/2025
11024,AW00011024,RUSSELL,XIE,FEMALE,M,3/16/1984,US,10/7/2025
11025,AW00011025,ALEJANDRO,BECK,FEMALE,M,6/22/1951,AUSTRALIA,10/7/2025
11026,AW00011026,HAROLD,SAI,FEMALE,S,10/1/1951,AUSTRALIA,10/7/2025
11027,AW00011027,JESSIE,ZHAO,FEMALE,M,6/5/1952,AUSTRALIA,10/7/2025
11028,AW00011028,JILL,JIMENEZ,FEMALE,M,10/9/1951,AUSTRALIA,10/7/2025
11029,AW00011029,JIMMY,MORENO,FEMALE,M,6/19/1952,AUSTRALIA,10/7/2025
11030,AW00011030,BETHANY,YUAN,FEMALE,M,2/18/1958,AUSTRALIA,10/7/2025
11031,AW00011031,THERESA,RAMOS,FEMALE,M,2/18/1953,AUSTRALIA,10/7/2025
11032,AW00011032,DENISE,STONE,FEMALE,M,12/8/1952,AUSTRALIA,10/7/2025
11033,AW00011033,JAIME,NATH,FEMALE,M,9/19/1958,AUSTRALIA,10/7/2025
11034,AW00011034,EBONY,GONZALEZ,FEMALE,M,12/16/1952,AUSTRALIA,10/7/2025
11035,AW00011035,WENDY,DOMINGUEZ,FEMALE,M,8/23/1953,AUSTRALIA,10/7/2025
11036,AW00011036,JENNIFER,RUSSELL,FEMALE,M,6/16/1984,US,10/7/2025
11037,AW00011037,CHLOE,GARCIA,FEMALE,S,5/27/1983,CANADA,10/7/2025
11038,AW00011038,DIANA,HERNANDEZ,FEMALE,M,9/20/1953,AUSTRALIA,10/7/2025
11039,AW00011039,MARC,MARTIN,UNKNOWN,M,6/16/1954,AUSTRALIA,10/7/2025
11040,AW00011040,JESSE,MURPHY,UNKNOWN,M,1/29/1983,US,10/7/2025
11041,AW00011041,AMANDA,CARTER,UNKNOWN,M,4/15/1983,US,10/7/2025
11042,AW00011042,MEGAN,SANCHEZ,FEMALE,M,12/11/1982,US,10/7/2025
11043,AW00011043,NATHAN,SIMMONS,FEMALE,M,8/23/1981,US,10/7/2025
11044,AW00011044,ADAM,FLORES,FEMALE,M,11/21/1954,AUSTRALIA,10/7/2025
11045,AW00011045,LEONARD,NARA,FEMALE,S,11/16/1955,AUSTRALIA,10/7/2025
11046,AW00011046,CHRISTINE,YUAN,FEMALE,M,9/19/1955,AUSTRALIA,10/7/2025
11047,AW00011047,JACLYN,LU,FEMALE,M,8/27/1955,AUSTRALIA,10/7/2025
11048,AW00011048,JEREMY,POWELL,FEMALE,M,5/21/1956,AUSTRALIA,10/7/2025
11049,AW00011049,CAROL,RAI,FEMALE,S,1/15/1986,US,10/7/2025
11050,AW00011050,ALAN,ZHENG,FEMALE,M,3/6/1957,AUSTRALIA,10/7/2025
11051,AW00011051,DANIEL,JOHNSON,FEMALE,S,1/31/1957,AUSTRALIA,10/7/2025
11052,AW00011052,HEIDI,LOPEZ,FEMALE,S,2/3/1957,AUSTRALIA,10/7/2025
11053,AW00011053,ANA,PRICE,FEMALE,M,2/17/1986,US,10/7/2025
11054,AW00011054,DEANNA,MUNOZ,FEMALE,M,9/7/1957,AUSTRALIA,10/7/2025
11055,AW00011055,GILBERT,RAJE,MALE,M,9/2/1957,AUSTRALIA,10/7/2025
11056,AW00011056,MICHELE,NATH,FEMALE,M,10/1/1958,AUSTRALIA,10/7/2025
11057,AW00011057,CARL,ANDERSEN,FEMALE,M,4/7/1970,AUSTRALIA,10/7/2025
11058,AW00011058,MARC,DIAZ,FEMALE,M,4/23/1965,AUSTRALIA,10/7/2025
11059,AW00011059,ASHLEE,ANDERSEN,FEMALE,S,9/29/1959,AUSTRALIA,10/7/2025
11060,AW00011060,JON,ZHOU,FEMALE,M,9/14/1959,AUSTRALIA,10/7/2025
11061,AW00011061,TODD,GAO,MALE,M,2/20/1976,AUSTRALIA,10/7/2025
11062,AW00011062,NOAH,POWELL,MALE,M,3/1/1981,US,10/7/2025
11063,AW00011063,ANGELA,MURPHY,FEMALE,S,10/4/1980,US,10/7/2025
11064,AW00011064,CHASE,REED,MALE,M,6/5/1981,US,10/7/2025
11065,AW00011065,JESSICA,HENDERSON,FEMALE,M,4/8/1979,US,10/7/2025
11066,AW00011066,GRACE,BUTLER,FEMALE,M,5/27/1979,US,10/7/2025
11067,AW00011067,CALEB,CARTER,MALE,S,3/25/1982,US,10/7/2025
11068,AW00011068,TIFFANY,LIANG,FEMALE,S,9/19/1966,AUSTRALIA,10/7/2025
11069,AW00011069,CAROLYN,NAVARRO,FEMALE,S,9/17/1966,AUSTRALIA,10/7/2025
11070,AW00011070,WILLIE,RAJI,MALE,M,10/2/1960,AUSTRALIA,10/7/2025
11071,AW00011071,LINDA,SERRANO,FEMALE,S,12/23/1960,AUSTRALIA,10/7/2025
11072,AW00011072,CASEY,LUO,FEMALE,S,8/5/1960,AUSTRALIA,10/7/2025
